api,lat NAD83,long NAD83
14933523,29.812599,-96.711690
14933538,30.083682,-96.893010
14933540,29.943728,-96.578645
17734492,29.580167,-97.371903
17734489,29.522741,-97.239563
17734491,29.626923,-97.263191
47731202,30.174636,-96.775795
47731203,30.176985,-96.773701
47731204,30.143382,-96.743446
47731205,30.143857,-96.739400
47731206,30.144317,-96.735467
47731207,30.144799,-96.731352
17734506,29.376356,-97.423277
17734493,29.522177,-97.236549
17734494,29.520881,-97.238404
14933541,29.729595,-97.201778
17734495,29.497231,-97.247395
17734496,29.500502,-97.254176
47731201,30.137940,-96.746170
17734497,29.180176,-97.574079
17734498,29.171437,-97.556175
30731216,31.321602,-99.403507
30731217,31.322106,-99.402740
47731200,30.138891,-96.744917
18733696,29.607333,-97.742360
47731208,30.256395,-96.668670
17734397,29.191197,-97.528718
47731209,30.188069,-96.597960
47731210,30.181734,-96.578630
47731211,30.180074,-96.580969
18733693,29.592195,-97.757522
17734460,29.487933,-97.234250
17734461,29.456472,-97.216840
47731214,30.310149,-96.415049
47731215,30.310525,-96.414239
17734398,29.190311,-97.528862
17734399,29.189685,-97.529776
17734400,29.189284,-97.530559
17734401,29.188575,-97.531243
47731213,30.308614,-96.412368
17734499,29.478496,-97.212073
17734504,29.482858,-97.210515
17734505,29.483643,-97.207917
17734402,29.188013,-97.532017
47731212,30.307029,-96.410589
47731216,30.308500,-96.410485
47731217,30.308406,-96.404617
47731218,30.306545,-96.404513
47731219,30.306624,-96.404914
47731220,30.309989,-96.401973
47731221,30.309201,-96.403080
47731222,30.308557,-96.402076
17734500,29.433272,-97.262278
17734501,29.433245,-97.260889
17734502,29.433211,-97.258950
17734503,29.431805,-97.265202
18733700,29.667864,-97.798078
47731223,30.309550,-96.404686
47731224,30.310283,-96.403933
47731225,30.311245,-96.405173
47731226,30.235244,-96.568637
47731165,30.262362,-96.452004
47731227,30.225329,-96.710168
47731228,30.228662,-96.704939
14933543,29.923674,-96.990945
17734508,29.501963,-97.254264
17734509,29.501027,-97.255631
05134372,30.457872,-96.662003
